checkpoint,folder,method,dataset,backbone,fold,load_ok,state_ok,json_found,metadata_ok,recorded_metric_ok,reeval_ok,error,reeval_error
outputs/FOROH_limuc/fold0.pt,outputs/FOROH_limuc,FOROH,limuc,resnet50,0,True,True,True,True,True,,,
outputs/FOROH_limuc_sslv0.5/fold0.pt,outputs/FOROH_limuc_sslv0.5,FOROH,limuc,resnet50,0,True,True,True,True,True,,,
outputs/batch128/exp19_ce_kneexray_densenet161/fold0.pt,outputs/batch128/exp19_ce_kneexray_densenet161,ce,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/batch128/exp20_coral_kneexray_densenet161/fold0.pt,outputs/batch128/exp20_coral_kneexray_densenet161,coral,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/batch128/exp21_mse_kneexray_densenet161/fold0.pt,outputs/batch128/exp21_mse_kneexray_densenet161,mse,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/batch128/exp22_FOROH_kneexray_densenet161/fold0.pt,outputs/batch128/exp22_FOROH_kneexray_densenet161,FOROH,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/batch128/exp23_FOROH_kneexray_boundary_densenet161/fold0.pt,outputs/batch128/exp23_FOROH_kneexray_boundary_densenet161,FOROH,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/batch128/exp24_FOROH_kneexray_freq_densenet161/fold0.pt,outputs/batch128/exp24_FOROH_kneexray_freq_densenet161,FOROH,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/exp19_ce_kneexray_densenet161/fold0.pt,outputs/exp19_ce_kneexray_densenet161,ce,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/exp20_coral_kneexray_densenet161/fold0.pt,outputs/exp20_coral_kneexray_densenet161,coral,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/exp21_mse_kneexray_densenet161/fold0.pt,outputs/exp21_mse_kneexray_densenet161,mse,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/exp22_FOROH_kneexray_densenet161/fold0.pt,outputs/exp22_FOROH_kneexray_densenet161,FOROH,kneexray,densenet161,0,True,True,True,True,True,,,
outputs/exp23_FOROH_kneexray_boundary_densenet161/fold0.pt,outputs/exp23_FOROH_kneexray_boundary_densenet161,FOROH,kneexray,densenet161,0,True,True,True,True,True,,,
